#,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_per_1M_pop,deaths_per_1M_pop,total_tests,tests_per_1M_pop,population
52,Nigeria,"15,181",,399,,"4,891","9,891",7,74,2,"88,432",430,"205,836,204"
53,Kazakhstan,"14,238",+366,73,+3,"8,829","5,336",77,759,4,"1,050,098","55,961","18,764,924"
54,Serbia,"12,251",+76,253,+1,"11,348",650,15,"1,402",29,"301,126","34,458","8,738,929"
55,Denmark,"12,139",+40,597,+3,"11,035",507,11,"2,096",103,"786,198","135,757","5,791,221"
56,S. Korea,"12,051",+48,277,,"10,691","1,083",15,235,5,"1,094,704","21,353","51,267,124"
57,Moldova,"11,459",+366,398,+13,"6,421","4,640",378,"2,840",99,"63,328","15,697","4,034,386"
58,Ghana,"11,118",+262,48,,"3,979","7,091",4,358,2,"245,448","7,909","31,035,817"
59,Algeria,"10,810",+112,760,+9,"7,420","2,630",39,247,17,,,"43,806,931"
60,Czechia,"9,960",+22,329,,"7,219","2,412",14,930,31,"494,805","46,209","10,708,043"
61,Azerbaijan,"9,570",+352,115,+2,"5,309","4,146",66,944,11,"362,654","35,784","10,134,524"
62,Guatemala,"8,982",+421,351,+17,"1,702","6,929",5,502,20,"31,427","1,756","17,897,027"
,Oceania,"8,913",+12,124,,"8,400",389,2,,,,,
63,Morocco,"8,692",+82,212,,"7,696",784,7,236,6,"405,898","11,004","36,887,633"
64,Cameroon,"8,681",,212,,"4,836","3,633",28,328,8,,,"26,506,586"
65,Norway,"8,625",+5,242,,"8,138",245,5,"1,592",45,"277,253","51,162","5,419,109"
66,Malaysia,"8,445",+43,120,+1,"7,311","1,014",4,261,4,"618,360","19,118","32,344,058"
67,Honduras,"8,132",+463,306,+12,844,"6,982",13,822,31,"21,540","2,177","9,896,013"
68,Australia,"7,302",+12,102,,"6,812",388,2,287,4,"1,782,651","69,951","25,484,418"
69,Finland,"7,087",+14,325,,"6,200",562,2,"1,279",59,"217,300","39,222","5,540,315"
70,Sudan,"6,879",,433,,"2,416","4,030",,157,10,401,9,"43,789,277"
71,Nepal,"5,335",+273,18,+2,913,"4,404",,183,0.6,"317,870","10,921","29,107,633"
72,Senegal,"4,996",+145,60,+4,"3,228","1,708",23,299,4,"59,008","3,530","16,717,343"
73,Tajikistan,"4,971",+69,50,+1,"3,288","1,633",,522,5,,,"9,525,198"
74,Uzbekistan,"4,966",+97,19,,"3,874","1,073",16,148,0.6,"748,555","22,383","33,443,106"
75,DRC,"4,724",+87,106,+5,595,"4,023",,53,1,,,"89,391,169"
76,Ivory Coast,"4,684",,45,,"2,263","2,376",,178,2,"35,179","1,336","26,339,495"
77,Guinea,"4,484",+58,25,+1,"3,213","1,246",24,342,2,"14,407","1,099","13,111,180"
78,Djibouti,"4,449",+8,41,+3,"2,823","1,585",,"4,507",42,"40,855","41,384","987,227"
79,Hungary,"4,064",+11,559,+4,"2,476","1,029",20,421,58,"230,139","23,820","9,661,455"
80,Luxembourg,"4,063",+8,110,,"3,922",31,,"6,496",176,"106,062","169,585","625,420"
81,Haiti,"3,941",,64,,24,"3,853",,346,6,"8,081",709,"11,395,219"
82,North Macedonia,"3,895",+194,179,+8,"1,705","2,011",34,"1,870",86,"42,262","20,285","2,083,378"
83,El Salvador,"3,603",+122,72,+4,"1,738","1,793",126,556,11,"120,941","18,650","6,484,606"
84,Gabon,"3,463",,23,,"1,024","2,416",17,"1,558",10,"19,517","8,781","2,222,650"
85,Kenya,"3,457",+152,100,+4,"1,221","2,136",7,64,2,"112,171","2,089","53,702,760"
86,Bulgaria,"3,191",,172,,"1,716","1,303",15,459,25,"101,102","14,546","6,950,669"
87,Ethiopia,"3,166",+251,55,+8,495,"2,616",39,28,0.5,"176,504","1,538","114,794,517"
88,Thailand,"3,134",+5,58,,"2,987",89,1,45,0.8,"468,175","6,708","69,791,648"
89,Greece,"3,112",+4,183,,"1,374","1,555",13,299,18,"247,452","23,736","10,425,286"
90,Bosnia and Herzegovina,"2,893",,163,,"2,119",611,4,882,50,"75,171","22,906","3,281,700"
91,Venezuela,"2,879",,23,,487,"2,369",1,101,0.8,"1,066,791","37,511","28,439,554"
92,Somalia,"2,579",+66,87,+2,559,"1,933",2,163,5,,,"15,866,124"
